Organization,Repository Name,Last Updated,License,has_readme,has_citation,has_contributing,has_tags,latest_tag,latest_tag_date,repo_url,owner,owner_url,organization_url,citation_title,citation_dois,citation_swhids,orcids,readme_dois,citation_has_doi,readme_has_doi,has_license
neurodata,youjin,2023-01-28T16:38:49Z,No license,True,False,False,False,,,https://github.com/neurodata/youjin,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,meshconverter,2016-04-09T01:03:15Z,Apache License 2.0,False,False,False,False,,,https://github.com/neurodata/meshconverter,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,ExploratoryGraph,2016-04-19T18:29:11Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/ExploratoryGraph,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,gurion,2023-01-28T16:38:49Z,No license,True,False,False,False,,,https://github.com/neurodata/gurion,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,semipar-cci,2025-04-19T05:12:05Z,No license,False,False,False,False,,,https://github.com/neurodata/semipar-cci,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,MXPaper,2023-01-28T16:38:49Z,No license,False,False,False,False,,,https://github.com/neurodata/MXPaper,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,histogram-explorer,2023-01-28T16:38:49Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/histogram-explorer,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,checklists,2023-03-14T01:51:33Z,Apache License 2.0,True,False,False,False,,,https://github.com/neurodata/checklists,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,jkmeans,2016-11-28T19:33:50Z,No license,False,False,False,False,,,https://github.com/neurodata/jkmeans,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
neurodata,non-parametric-clustering,2020-08-03T09:37:30Z,No license,False,False,False,False,,,https://github.com/neurodata/non-parametric-clustering,neurodata,https://github.com/neurodata,https://github.com/neurodata,,,,,,No,No,True
